latitude,longitude
29.8309465,-95.6460005
29.7893378,-95.68781200000001
29.8457058,-95.64516859999999
29.8340977,-95.64573860000002
29.8494111,-95.654155
29.8710463,-95.68388639999999
29.8244578,-95.6866241
29.8363359,-95.6400855
29.8129566,-95.687257
29.8488995,-95.6829204
29.7967101,-95.68775029999999
29.8485092,-95.64662109999999
29.8494663,-95.6686592
29.8308918,-95.6846468
29.8316,-95.68442069999999
29.8306405,-95.6920667
29.8680377,-95.6410508
29.8680332,-95.6448503
29.8644473,-95.66286529999999
29.8530879,-95.6829616
29.815249,-95.70415419999999
29.8650635,-95.6836809
29.8007264,-95.7044009
29.835844,-95.65372359999999
29.8119527,-95.6875754
29.8309385,-95.66095469999999
29.8485735,-95.64528159999999
29.8128872,-95.6863711
29.8534293,-95.6839275
29.8570939,-95.64464489999999
29.792597,-95.6890657
29.8659156,-95.6696044
29.7885534,-95.6877092
29.8788295,-95.64997439999999
29.7968282,-95.7038664
29.8104408,-95.7200175
29.865806,-95.6837014
29.8258096,-95.70327019999999
29.8573983,-95.6459594
29.7880018,-95.5303977
29.797368,-95.52471990000001
29.7499954,-95.50156340000001
29.7490292,-95.5003955
29.7497314,-95.4970561
29.7789528,-95.53224259999999
29.7378607,-95.5054358
29.7382925,-95.4820542
29.7507476,-95.5008258
29.7832257,-95.52060019999999
29.7833329,-95.4936144
29.7830303,-95.48404839999999
29.7847785,-95.48431219999999
29.79364709999999,-95.5220554
29.7374829,-95.5345591
29.7386681,-95.53695760000001
29.7972418,-95.5239615
29.7370112,-95.5318121
29.7927951,-95.5224858
29.7284063,-95.5138082
29.7727834,-95.45701799999999
29.7983646,-95.52375789999999
29.7503713,-95.4865063
29.73206369999999,-95.5016658
29.7737521,-95.4570385
29.7666798,-95.5497106
29.7731726,-95.5620766
29.7370599,-95.519464
29.74215839999999,-95.3592201
29.751432,-95.32328040000002
29.7811225,-95.37267000000001
29.7571904,-95.39285079999999
29.7691791,-95.3921137
29.7449477,-95.3916639
29.7314378,-95.38223819999999
29.7548659,-95.3365994
29.7342613,-95.3484578
29.7732316,-95.3898652
29.7390783,-95.3907036
29.784033,-95.34082860000001
29.7389917,-95.3915859
29.7907388,-95.3723838
29.7429415,-95.32522089999999
29.7723972,-95.37239799999999
29.7776781,-95.3580551
29.7787623,-95.3624699
29.769206,-95.3878345
29.7364448,-95.3286117
29.736589,-95.34744889999999
29.7361507,-95.3465702
29.7833256,-95.3421567
29.7273562,-95.3504323
29.7757844,-95.3947323
29.7462356,-95.3793962
29.7416205,-95.37641119999999
29.752535,-95.33847899999999
29.7295292,-95.3859186
29.7606831,-95.34894059999999
29.7444388,-95.35775559999999
29.7716459,-95.3966956
29.7346778,-95.3907649
29.7935855,-95.3605486
29.7461093,-95.3624699
29.7476761,-95.3705645
29.7436676,-95.364289
29.74930489999999,-95.3754504
29.7678953,-95.3824631
29.7573427,-95.4021257
29.7476912,-95.3729329
29.7308608,-95.35860699999999
29.7505688,-95.32399529999999
29.737847,-95.3791591
29.961739,-95.54730780000001
30.0160966,-95.5185712
29.9664994,-95.5569457
29.9780984,-95.51683489999999
29.9827458,-95.5070551
29.9879683,-95.49902279999999
29.988391,-95.498302
29.9904674,-95.5506128
30.0108387,-95.5156816
30.0127614,-95.53800319999999
29.9722127,-95.4854412
29.9552557,-95.5249454
29.9703431,-95.53453859999999
29.9683538,-95.5331241
29.9693255,-95.4953147
29.957182,-95.499066
29.9613812,-95.52920879999999
29.9560405,-95.5088577
29.95069609999999,-95.5203748
30.010396,-95.51430020000001
30.0068532,-95.5489929
30.0030419,-95.55719549999999
29.9990934,-95.505911
30.0163687,-95.5330216
29.6885796,-95.3910717
29.706549,-95.41295679999999
29.7009721,-95.37755609999999
29.69153069999999,-95.3900697
29.682589,-95.42294079999999
29.6784258,-95.4259895
29.6848736,-95.3996758
29.679604,-95.4026268
29.6794144,-95.39421949999999
29.6947444,-95.41435299999999
29.6770753,-95.4286701
29.701203,-95.3696241
29.681377,-95.39342339999999
29.7013008,-95.3716683
29.7021328,-95.37117769999999
29.67875069999999,-95.43955729999999
